customer_ref,application_id,application_hour,application_day_of_week,account_open_year,preferred_contact,referral_code,account_status_code,num_login_sessions,num_customer_service_calls,has_mobile_app,paperless_billing,age,annual_income,employment_length,employment_type,education,marital_status,num_dependents,monthly_income,existing_monthly_debt,monthly_payment,debt_to_income_ratio,debt_service_ratio,payment_to_income_ratio,credit_utilization,revolving_balance,credit_usage_amount,available_credit,total_monthly_debt_payment,annual_debt_payment,loan_to_annual_income,total_debt_amount,monthly_free_cash_flow,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,loan_type,loan_amount,loan_term,interest_rate,loan_purpose,loan_to_value_ratio,origination_channel,loan_officer_id,marketing_campaign,credit_score,num_credit_accounts,oldest_credit_line_age,oldest_account_age_months,total_credit_limit,num_delinquencies_2yrs,num_inquiries_6mo,recent_inquiry_count,num_public_records,num_collections,account_diversity_index
100631,548928,4,6,2017,Phone,REF0000,Active2,4,3,1,1,22,55100.0,4.6,Contract,Bachelor,Single,0,4592.0,365.98,527.45,0.195,0.19457640653357533,0.115,0.464,38094.4,38094.4,44005.6,893.43,10721.16,0.3720508166969147,58594.4,3698.2366666666667,MO,4.2,55000.0,1250.0,94.0,80.0,Personal,20500.0,48,10.76,Major Purchase,0.0,Broker,1056,Z,681,3,4.0,48.0,82100.0,0.0,1,1,0,0,0.258
100632,613068,19,1,2013,Email,REF0000,A01,5,2,1,1,22,40200.0,2.7,Full-time,High School,Single,1,3350.0,1134.66,175.66,0.391,0.39114029850746274,0.052,0.311,9081.2,9081.2,20118.8,1310.3200000000002,15723.840000000002,0.16417910447761194,15681.2,2039.6799999999998,MA,4.4,81000.0,1720.0,146.0,127.0,Personal,6600.0,48,12.57,Other,0.0,Broker,1094,G,673,2,1.1,13.200000000000001,29200.0,0.0,0,0,0,0,0.118
100633,613165,21,6,2019,Phone,REF0000,A01,23,2,0,1,63,58600.0,5.2,Unknown,Graduate,Married,1,4883.33,1777.4,639.51,0.495,0.49493037542662116,0.131,0.738,104500.8,104500.8,37099.2,2416.91,29002.92,0.33276450511945393,124000.8,2466.42,TN,3.9,53000.0,1130.0,104.0,74.0,Personal,19500.0,36,11.12,Debt Consolidation,0.0,Online,1075,C,725,14,12.0,144.0,141600.0,0.0,4,4,0,0,0.331
100634,589017,14,0,2020,Phone,REF0000,Active1,4,1,1,1,35,82800.0,1.4,Full-time,Bachelor,Married,4,6900.0,1304.59,397.57,0.247,0.24668985507246374,0.058,0.346,60342.4,60342.4,114057.6,1702.1599999999999,20425.92,0.21497584541062803,78142.4,5197.84,NY,5.3,72000.0,1440.0,137.0,110.0,Personal,17800.0,60,12.18,Debt Consolidation,0.0,Branch,998,E,735,5,9.7,116.39999999999999,174400.0,0.0,1,1,0,0,0.169
100635,552007,2,1,2016,Email,REF0000,Active2,6,1,1,1,41,89500.0,6.0,Self-employed,Some College,Single,2,7458.33,594.05,1834.65,0.326,0.3256357541899441,0.246,0.334,53306.4,53306.4,106293.6,2428.7,29144.399999999998,3.5318435754189945,369406.4,5029.63,TN,4.0,53000.0,1300.0,102.0,86.0,Mortgage,316100.0,360,5.7,Refinance,0.511,Branch,1073,B,745,9,15.2,182.39999999999998,159600.0,0.0,3,3,0,0,0.421
100636,581332,9,6,2013,Email,REF0000,Active3,20,1,1,0,48,54300.0,7.5,Full-time,Some College,Married,3,4525.0,901.45,303.0,0.266,0.2661767955801105,0.067,0.622,78434.2,78434.2,47665.8,1204.45,14453.400000000001,0.1860036832412523,88534.2,3320.55,FL,4.7,55000.0,1210.0,116.0,97.0,Credit Card,10100.0,0,18.94,Revolving Credit,0.0,Online,1085,Y,709,12,5.4,64.80000000000001,126100.0,0.0,0,0,0,0,0.252
100637,613715,5,1,2018,Email,REF0000,Active3,6,3,1,1,28,20000.0,3.4,Full-time,Some College,Married,0,1666.67,247.53,662.07,0.546,0.54576,0.397,0.283,12367.1,12367.1,31332.9,909.6,10915.2,4.155,95467.1,757.07,AZ,4.2,58000.0,1410.0,110.0,77.0,Mortgage,83100.0,360,8.89,Refinance,0.779,Broker,1080,F,611,8,4.6,55.199999999999996,43700.0,0.0,1,1,0,0,0.185
100638,644327,8,6,2019,Email,REF0000,Active,13,0,0,0,60,36800.0,4.5,Full-time,Bachelor,Divorced,1,3067.0,842.83,395.87,0.404,0.4039239130434783,0.129,0.5,56850.0,56850.0,56850.0,1238.7,14864.400000000001,0.40217391304347827,71650.0,1827.9666666666665,NY,5.0,72000.0,1990.0,143.0,119.0,Personal,14800.0,48,12.84,Debt Consolidation,0.0,Branch,999,J,731,15,7.9,94.80000000000001,113700.0,0.0,0,0,0,0,0.322
100639,544926,6,2,2017,Email,REF0000,Active,8,1,1,1,29,42100.0,4.3,Full-time,Bachelor,Single,1,3508.33,740.68,399.11,0.325,0.3248807600950119,0.114,0.539,49534.1,49534.1,42365.9,1139.79,13677.48,1.3800475059382422,107634.1,2368.54,GA,4.4,58000.0,1380.0,108.0,89.0,Mortgage,58100.0,360,7.32,Home Purchase,0.806,Online,1001,N,637,5,4.4,52.800000000000004,91900.0,0.0,2,2,1,0,0.165
100640,591892,12,6,2016,Email,REF0000,A01,14,1,0,0,56,86200.0,2.8,Full-time,Some College,Married,1,7183.33,1951.25,324.0,0.317,0.3167401392111369,0.045,0.354,74764.8,74764.8,136435.2,2275.25,27303.0,0.12529002320185614,85564.8,4908.08,MD,4.4,84000.0,2090.0,137.0,111.0,Unknown,10800.0,0,15.8,Revolving Credit,0.0,Online,1084,F,780,15,7.8,93.6,211200.0,0.0,2,2,0,0,0.397
100641,578143,13,6,2021,Phone,REF0000,Active1,4,0,1,1,43,55000.0,5.5,Full-time,Graduate,Married,1,4583.33,660.51,1839.39,0.545,0.5454327272727273,0.401,0.413,50220.8,50220.8,71379.2,2499.9,29998.800000000003,6.056363636363637,383320.8,2083.433333333333,AZ,5.0,58000.0,1510.0,116.0,93.0,Mortgage,333100.0,360,5.25,Home Purchase,0.777,Online,1082,C,791,11,1.6,19.200000000000003,121600.0,0.0,1,1,0,0,0.202
100642,554510,4,3,2016,Email,REF6387,Active,17,0,0,0,62,47100.0,1.1,Full-time,Bachelor,Married,2,3925.0,1543.49,1784.77,0.848,0.8479643312101911,0.455,0.481,36507.9,36507.9,39392.1,3328.26,39939.12,4.670912951167728,256507.9,596.74,TX,4.4,61000.0,1440.0,103.0,91.0,Mortgage,220000.0,180,5.39,Home Purchase,0.503,Branch,1003,C,764,14,10.8,129.60000000000002,75900.0,0.0,0,0,0,0,0.33
100643,600785,12,6,2010,Email,REF0000,Active2,9,2,1,0,46,68700.0,3.0,Self-employed,Graduate,Married,1,5725.0,1687.76,411.96,0.367,0.36676331877729257,0.072,0.761,32494.7,32494.7,10205.3,2099.72,25196.64,0.27074235807860264,51094.7,3625.28,WA,4.7,78000.0,1820.0,151.0,123.0,Personal,18600.0,60,11.81,Medical,0.0,Branch,1055,J,704,5,19.9,238.79999999999998,42700.0,0.0,1,1,0,0,0.41
100644,577955,9,3,2018,Email,REF0000,Active2,6,2,1,0,37,49400.0,8.6,Unknown,Bachelor,Married,2,4117.0,1534.85,924.35,0.597,0.5973765182186234,0.225,0.569,24637.7,24637.7,18662.3,2459.2,29510.399999999998,0.6983805668016194,59137.7,1657.47,AZ,4.7,58000.0,1230.0,104.0,98.0,Personal,34500.0,48,12.93,Other,0.0,Online,1080,V,714,4,7.7,92.4,43300.0,0.0,1,1,0,0,0.297
100645,633272,6,2,2010,Email,REF0000,Active3,3,1,1,1,27,41300.0,8.4,Full-time,Bachelor,Single,0,3441.67,854.71,1589.1,0.71,0.7100658595641647,0.462,0.295,23010.0,23010.0,54990.0,2443.81,29325.72,0.43099273607748184,40810.0,997.86,NJ,4.7,82000.0,2160.0,134.0,113.0,Personal,17800.0,12,12.91,Medical,0.0,Online,1015,N,662,7,8.1,97.19999999999999,78000.0,0.0,2,2,0,0,0.194
100646,603247,4,3,2015,Email,REF0000,Active2,12,2,0,1,43,99600.0,4.7,Full-time,Advanced,Married,3,8300.0,3072.4,1362.8,0.534,0.5343614457831325,0.164,0.308,61014.8,61014.8,137085.2,4435.2,53222.399999999994,1.821285140562249,242414.8,3864.8,TN,3.9,53000.0,1450.0,108.0,87.0,Mortgage,181400.0,180,4.23,Refinance,0.719,Online,1072,B,775,14,23.5,282.0,198100.0,0.0,2,2,0,0,0.498
100647,608115,7,6,2010,Email,REF0000,Active,10,3,1,1,41,42200.0,7.8,Part-time,Bachelor,Married,1,3516.67,792.72,1385.41,0.619,0.6193734597156398,0.394,0.502,35340.8,35340.8,35059.2,2178.13,26137.56,4.492890995260663,224940.8,1338.5366666666664,TX,4.3,61000.0,1510.0,97.0,83.0,Mortgage,189600.0,180,3.82,Home Purchase,0.939,Online,1004,S,773,5,7.2,86.4,70400.0,0.0,2,2,0,0,0.166
100648,574359,11,0,2014,Email,REF0000,Active2,10,2,1,1,44,152500.0,5.2,Part-time,Advanced,Married,1,12708.33,4758.57,2313.95,0.557,0.5565261639344262,0.182,0.272,65742.4,65742.4,175957.6,7072.5199999999995,84870.23999999999,0.17114754098360654,91842.4,5635.813333333334,IN,4.3,55000.0,1290.0,87.0,72.0,Personal,26100.0,12,11.59,Medical,0.0,Branch,1041,X,774,19,8.8,105.60000000000001,241700.0,0.0,0,0,0,0,0.422
100649,575609,12,4,2011,Phone,REF0000,Active3,8,3,1,1,47,41400.0,3.9,Full-time,High School,Married,1,3450.0,977.55,1460.75,0.707,0.7067536231884058,0.423,0.715,27241.5,27241.5,10858.5,2438.3,29259.600000000002,5.859903381642512,269841.5,1011.6999999999998,FL,5.1,55000.0,1340.0,118.0,99.0,Mortgage,242600.0,360,6.04,Refinance,0.633,Branch,1078,I,702,9,14.1,169.2,38100.0,0.0,5,5,0,0,0.372
100650,597874,19,1,2020,Phone,REF0000,Active,10,4,0,0,44,75800.0,6.1,Contract,Some College,Single,0,6316.67,1028.16,96.0,0.178,0.17796728232189973,0.015,0.404,39915.2,39915.2,58884.8,1124.16,13489.920000000002,0.04221635883905013,43115.2,5192.506666666667,MO,3.8,55000.0,1540.0,97.0,80.0,Credit Card,3200.0,0,16.55,Revolving Credit,0.0,Broker,1058,Y,703,3,7.7,92.4,98800.0,0.0,1,1,0,0,0.141
100651,558497,3,0,2014,Email,REF0000,A01,11,5,1,0,34,131700.0,1.7,Full-time,Bachelor,Single,0,10975.0,736.93,1404.86,0.195,0.195151708428246,0.128,0.288,78451.2,78451.2,193948.8,2141.79,25701.48,1.9870918754745635,340151.2,8833.21,TX,3.6,61000.0,1290.0,105.0,82.0,Mortgage,261700.0,360,5.0,Refinance,0.958,Broker,1005,D,774,7,3.0,36.0,272400.0,0.0,2,2,0,0,0.295
100652,581289,19,1,2018,Phone,REF0000,Active2,12,0,1,0,53,50000.0,4.4,Full-time,High School,Married,1,4166.67,1334.6,1490.95,0.678,0.678132,0.358,0.21,8736.0,8736.0,32864.0,2825.55,33906.600000000006,5.99,308236.0,1341.12,MI,5.7,57000.0,1500.0,89.0,75.0,Mortgage,299500.0,360,4.35,Home Purchase,0.75,Broker,1075,S,753,11,13.2,158.39999999999998,41600.0,0.0,3,3,0,0,0.45
100653,595287,14,0,2020,Email,REF0000,Active,12,0,1,1,40,49300.0,10.2,Full-time,Bachelor,Married,0,4108.0,1514.18,1817.85,0.811,0.811041784989858,0.442,0.326,45281.4,45281.4,93618.6,3332.03,39984.36,6.730223123732252,377081.4,776.3033333333333,MA,4.3,81000.0,1820.0,147.0,115.0,Mortgage,331800.0,360,5.18,Refinance,0.911,Branch,1097,M,784,7,6.0,72.0,138900.0,0.0,1,1,0,0,0.295
100654,565455,13,6,2013,Email,REF0000,Active,8,0,1,0,24,28800.0,1.2,Full-time,High School,Single,0,2400.0,541.45,906.88,0.603,0.6034708333333333,0.378,0.199,15223.5,15223.5,61276.5,1448.33,17379.96,0.3576388888888889,25523.5,951.6700000000001,FL,5.5,55000.0,1540.0,114.0,85.0,Personal,10300.0,12,10.28,Major Purchase,0.0,Online,1077,Z,696,2,6.0,72.0,76500.0,0.0,4,4,0,0,0.251
100655,618513,7,0,2011,Phone,REF8295,Active1,8,3,0,1,47,50700.0,2.0,Full-time,Bachelor,Divorced,2,4225.0,449.59,447.0,0.212,0.21221065088757393,0.106,0.324,50382.0,50382.0,105118.0,896.59,10759.079999999998,0.2938856015779093,65282.0,3328.41,FL,4.8,55000.0,1440.0,116.0,85.0,Credit Card,14900.0,0,15.18,Revolving Credit,0.0,Online,1079,I,792,7,7.3,87.6,155500.0,0.0,2,2,0,0,0.304
100656,571647,11,4,2020,Mail,REF0000,Active3,10,1,1,1,51,48300.0,2.3,Full-time,Advanced,Married,1,4025.0,1391.38,1096.29,0.618,0.6180546583850932,0.272,0.348,50146.8,50146.8,93953.2,2487.67,29852.04,0.6770186335403726,82846.8,1537.33,WI,4.4,60000.0,1330.0,94.0,79.0,Personal,32700.0,36,12.65,Major Purchase,0.0,Online,1095,J,758,12,4.1,49.199999999999996,144100.0,0.0,1,1,0,0,0.277
100657,644451,10,0,2016,Email,REF0000,A01,9,1,1,1,52,38900.0,9.4,Full-time,Bachelor,Married,0,3242.0,548.66,330.0,0.271,0.27105192802056555,0.102,0.637,36882.3,36882.3,21017.7,878.66,10543.92,0.2827763496143959,47882.3,2363.01,AZ,4.7,58000.0,1410.0,115.0,86.0,Credit Card,11000.0,0,16.77,Revolving Credit,0.0,Online,1083,P,712,18,1.7,20.4,57900.0,0.0,0,0,0,0,0.395
100658,588988,15,5,2022,Email,REF0000,Active1,7,1,1,0,48,30900.0,7.7,Full-time,Some College,Married,3,2575.0,863.29,154.54,0.395,0.39527378640776695,0.06,0.23,17342.0,17342.0,58058.0,1017.83,12213.96,0.18770226537216828,23142.0,1557.17,TX,4.4,61000.0,1640.0,106.0,92.0,Personal,5800.0,48,12.63,Debt Consolidation,0.0,Direct Mail,1006,V,711,8,11.4,136.8,75400.0,0.0,0,0,0,0,0.411
100659,565389,2,3,2023,Phone,REF4940,Active,10,3,1,1,33,41700.0,4.6,Full-time,Some College,Married,3,3475.0,1343.63,333.6,0.483,0.4826561151079137,0.096,0.308,14722.4,14722.4,33077.6,1677.23,20126.760000000002,0.23261390887290168,24422.4,1797.77,OH,4.7,56000.0,1260.0,98.0,87.0,Personal,9700.0,36,14.44,Medical,0.0,Online,1040,F,639,12,2.9,34.8,47800.0,0.0,1,1,0,0,0.274
100660,572868,20,0,2021,Email,REF0000,Active,6,4,1,0,36,27400.0,3.4,Unknown,Bachelor,Married,2,2283.33,548.67,637.55,0.52,0.519512408759124,0.279,0.333,19314.0,19314.0,38686.0,1186.22,14234.639999999998,3.354014598540146,111214.0,1097.11,VA,4.0,74000.0,1880.0,124.0,105.0,Mortgage,91900.0,360,7.42,Refinance,0.672,Branch,1087,X,664,7,18.0,216.0,58000.0,0.0,0,0,0,0,0.338
100661,635141,9,5,2016,Email,REF0000,Active2,7,3,0,0,41,35000.0,4.3,Full-time,High School,Married,1,2916.67,794.49,282.0,0.369,0.36908228571428575,0.097,0.6,37980.0,37980.0,25320.0,1076.49,12917.880000000001,0.26857142857142857,47380.0,1840.18,WI,4.2,60000.0,1280.0,98.0,84.0,Unknown,9400.0,0,18.44,Revolving Credit,0.0,Branch,1097,K,730,11,12.3,147.60000000000002,63300.0,0.0,2,2,0,0,0.398
100662,582175,1,3,2013,Email,REF7539,Active,3,2,0,1,30,32500.0,4.8,Full-time,Bachelor,Married,0,2708.33,588.46,3910.34,1.661,1.6610953846153846,1.444,0.399,34673.1,34673.1,52226.9,4498.8,53985.600000000006,17.19076923076923,593373.1,-1790.4666666666667,PA,4.5,61000.0,1570.0,90.0,80.0,Mortgage,558700.0,360,7.51,Refinance,0.922,Direct Mail,1014,L,682,3,12.0,144.0,86900.0,0.0,3,3,0,0,0.216
100663,626937,4,3,2022,Phone,REF0000,Active2,7,0,1,0,39,28400.0,3.8,Full-time,Some College,Married,3,2366.67,331.3,240.9,0.242,0.24177464788732397,0.102,0.215,5224.5,5224.5,19075.5,572.2,6866.400000000001,0.33098591549295775,14624.5,1794.47,NY,5.7,72000.0,1810.0,142.0,109.0,Personal,9400.0,48,10.55,Debt Consolidation,0.0,Branch,1003,N,741,11,8.2,98.39999999999999,24300.0,0.0,5,5,0,0,0.273
100664,562152,8,2,2019,Phone,REF3687,Active2,7,2,1,1,35,46200.0,8.4,Self-employed,Graduate,Single,1,3850.0,1458.43,2024.27,0.905,0.9045974025974025,0.526,0.231,9055.2,9055.2,30144.8,3482.7,41792.399999999994,7.01948051948052,333355.2,367.3000000000002,FL,5.2,55000.0,1350.0,112.0,92.0,Mortgage,324300.0,360,6.38,Refinance,0.704,Branch,1080,R,746,10,10.7,128.39999999999998,39200.0,0.0,0,0,0,0,0.268
100665,553387,2,6,2016,Mail,REF0000,Active,16,1,1,1,46,113500.0,9.6,Self-employed,Bachelor,Married,1,9458.33,838.49,2063.06,0.307,0.3067718061674009,0.218,0.474,46262.4,46262.4,51337.6,2901.55,34818.600000000006,3.5251101321585905,446362.4,6556.78,TX,4.2,61000.0,1500.0,99.0,81.0,Mortgage,400100.0,360,4.65,Home Purchase,0.762,Broker,1002,H,747,24,13.4,160.8,97600.0,0.0,1,1,0,0,0.577
100666,591730,2,3,2016,Email,REF0000,Active1,10,6,1,1,39,22800.0,1.2,Full-time,Some College,Married,0,1900.0,199.49,245.35,0.234,0.2341263157894737,0.129,0.197,12883.8,12883.8,52516.2,444.84000000000003,5338.08,0.40350877192982454,22083.8,1455.16,MI,5.6,57000.0,1290.0,95.0,73.0,Personal,9200.0,48,12.68,Home Improvement,0.0,Online,1081,Q,693,7,2.0,24.0,65400.0,0.0,0,0,0,0,0.135
100667,630723,16,4,2020,Email,REF0000,Active3,5,2,1,1,38,73400.0,8.6,Full-time,Advanced,Married,2,6117.0,1008.99,2329.71,0.546,0.5458365122615804,0.381,0.456,56954.4,56954.4,67945.6,3338.7,40064.399999999994,0.35967302452316074,83354.4,2777.97,TX,4.3,61000.0,1270.0,115.0,97.0,Personal,26400.0,12,10.71,Home Improvement,0.0,Online,1004,C,808,17,6.5,78.0,124900.0,0.0,3,3,0,0,0.395
100668,554944,18,2,2016,Email,REF8446,A01,14,0,1,1,66,47200.0,8.5,Full-time,Graduate,Married,1,3933.33,1323.95,1289.37,0.664,0.6644033898305084,0.328,0.318,37714.8,37714.8,80885.2,2613.3199999999997,31359.839999999997,5.99364406779661,320614.8,1320.01,NC,4.3,54000.0,1400.0,107.0,79.0,Mortgage,282900.0,360,3.62,Refinance,0.892,Online,1048,W,778,17,16.7,200.39999999999998,118600.0,0.0,1,1,0,0,0.402
100669,567400,8,5,2010,Email,REF0000,Active2,8,1,1,0,37,64700.0,0.9,Full-time,Some College,Married,2,5392.0,1714.49,225.0,0.36,0.3597199381761978,0.042,0.239,30926.6,30926.6,98473.4,1939.49,23273.88,0.11591962905718702,38426.6,3452.176666666667,NY,5.4,72000.0,1850.0,147.0,121.0,Unknown,7500.0,0,17.98,Revolving Credit,0.0,Online,1005,X,703,2,13.2,158.39999999999998,129400.0,0.0,2,2,0,0,0.337
100670,565776,4,0,2019,Email,REF0000,Active,16,0,1,1,58,52700.0,5.2,Full-time,Some College,Married,1,4392.0,877.55,105.0,0.224,0.22373055028462996,0.024,0.285,15618.0,15618.0,39182.0,982.55,11790.599999999999,0.06641366223908918,19118.0,3409.12,CA,5.5,75000.0,1730.0,162.0,136.0,Credit Card,3500.0,0,16.92,Revolving Credit,0.0,Branch,1048,W,764,6,19.3,231.60000000000002,54800.0,0.0,2,2,0,0,0.323
100671,564581,3,0,2021,Email,REF0000,Active,18,2,0,1,50,36100.0,3.5,Contract,Some College,Married,1,3008.33,551.71,204.0,0.251,0.251205540166205,0.068,0.477,45410.4,45410.4,49789.6,755.71,9068.52,0.1883656509695291,52210.4,2252.62,TX,4.2,61000.0,1360.0,104.0,79.0,Credit Card,6800.0,0,15.29,Revolving Credit,0.0,Broker,1005,K,747,17,0.9,10.8,95200.0,0.0,2,2,0,0,0.226
100672,630229,12,5,2016,Phone,REF0000,A01,11,2,1,0,34,37100.0,2.6,Full-time,High School,Single,2,3091.67,157.49,2445.58,0.842,0.8419633423180592,0.791,0.194,8458.4,8458.4,35141.6,2603.07,31236.839999999997,10.132075471698114,384358.4,488.5966666666668,MI,5.2,57000.0,1570.0,91.0,77.0,Mortgage,375900.0,360,6.78,Home Purchase,0.677,Branch,1074,L,742,18,6.6,79.19999999999999,43600.0,0.0,2,2,0,0,0.369
100673,615042,13,1,2014,Email,REF0000,Active3,8,4,1,0,36,81700.0,8.2,Full-time,Graduate,Married,1,6808.33,1140.08,739.25,0.276,0.27603378212974294,0.109,0.037,6611.9,6611.9,172088.1,1879.33,22551.96,1.9755201958384332,168011.9,4929.0,GA,4.4,58000.0,1660.0,108.0,86.0,Mortgage,161400.0,360,3.66,Refinance,0.72,Broker,995,V,840,9,7.8,93.6,178700.0,0.0,1,1,0,0,0.236
100674,638471,8,1,2014,Phone,REF0000,A01,15,0,0,1,55,20000.0,4.5,Full-time,Bachelor,Married,0,1666.67,279.11,1061.65,0.804,0.8044560000000001,0.637,0.281,10481.3,10481.3,26818.7,1340.76,16089.120000000003,1.975,49981.3,325.91,CA,5.2,75000.0,1540.0,167.0,130.0,Personal,39500.0,48,13.1,Home Improvement,0.0,Branch,1047,M,680,15,1.9,22.799999999999997,37300.0,0.0,3,3,0,0,0.401
100675,640109,22,3,2018,Phone,REF0000,Active3,12,1,1,1,36,50700.0,5.0,Full-time,Graduate,Married,0,4225.0,372.0,234.0,0.143,0.1434319526627219,0.055,0.344,42621.6,42621.6,81278.4,606.0,7272.0,0.15384615384615385,50421.6,3619.0,CA,5.2,75000.0,1890.0,167.0,136.0,Credit Card,7800.0,0,18.47,Revolving Credit,0.0,Online,1043,A,696,7,6.8,81.6,123900.0,0.0,4,4,0,0,0.316
100676,643922,2,3,2011,Phone,REF0000,Active3,4,2,1,0,31,20000.0,2.7,Full-time,High School,Married,1,1667.0,656.78,915.56,0.943,0.9434039999999999,0.549,0.564,16356.0,16356.0,12644.0,1572.34,18868.079999999998,1.36,43556.0,94.32666666666682,NY,5.1,72000.0,1770.0,145.0,115.0,Personal,27200.0,36,12.93,Debt Consolidation,0.0,Online,1004,B,642,10,1.8,21.6,29000.0,0.0,0,0,0,0,0.16
100677,552865,13,2,2015,Phone,REF0000,Active3,4,5,1,0,26,29200.0,4.3,Self-employed,Some College,Single,0,2433.0,690.23,171.0,0.354,0.3539301369863014,0.07,0.508,25704.8,25704.8,24895.2,861.23,10334.76,0.1952054794520548,31404.8,1572.1,TX,4.1,61000.0,1440.0,104.0,76.0,Credit Card,5700.0,0,18.27,Revolving Credit,0.0,Direct Mail,1004,J,705,8,8.0,96.0,50600.0,0.0,2,2,0,0,0.318
100678,556561,17,5,2022,Email,REF0000,Active1,8,1,1,1,50,29000.0,6.5,Full-time,Some College,Married,1,2417.0,531.19,1102.0,0.676,0.6758027586206897,0.456,0.332,26294.4,26294.4,52905.6,1633.19,19598.28,6.3517241379310345,210494.4,783.48,CA,5.6,75000.0,1730.0,165.0,128.0,Mortgage,184200.0,360,5.98,Home Purchase,0.839,Online,1045,W,716,13,16.4,196.79999999999998,79200.0,0.0,1,1,0,0,0.44
100679,563601,18,0,2014,Email,REF0000,Active1,11,2,1,1,45,20000.0,3.5,Full-time,Graduate,Single,0,1666.67,255.69,540.92,0.478,0.4779659999999999,0.325,0.496,18550.4,18550.4,18849.6,796.6099999999999,9559.32,1.22,42950.4,870.06,PA,4.1,61000.0,1280.0,92.0,84.0,Personal,24400.0,60,11.85,Major Purchase,0.0,Online,1011,X,660,3,11.3,135.60000000000002,37400.0,0.0,1,1,0,0,0.31
100680,626220,9,2,2016,Phone,REF0000,Active3,11,2,1,1,32,33300.0,8.1,Self-employed,Advanced,Single,0,2775.0,814.04,103.29,0.331,0.33056936936936937,0.037,0.489,49095.6,49095.6,51304.4,917.33,11007.96,0.11411411411411411,52895.6,1857.67,MI,5.5,57000.0,1270.0,91.0,74.0,Personal,3800.0,48,13.71,Debt Consolidation,0.0,Online,1079,M,723,3,14.0,168.0,100400.0,0.0,0,0,0,0,0.365
100681,582826,3,0,2016,Mail,REF2856,Active3,8,2,1,0,29,20000.0,3.6,Full-time,Bachelor,Single,0,1666.67,413.24,1094.34,0.905,0.9045479999999999,0.657,0.771,50192.1,50192.1,14907.9,1507.58,18090.96,10.055,251292.1,159.09,NC,4.2,54000.0,1310.0,110.0,79.0,Mortgage,201100.0,360,5.12,Refinance,0.683,Direct Mail,1049,H,773,4,6.5,78.0,65100.0,0.0,2,2,0,0,0.198
100682,600617,1,3,2021,Email,REF0000,Active3,6,3,1,1,36,35200.0,5.3,Self-employed,Bachelor,Married,1,2933.33,973.02,1466.54,0.832,0.8316681818181818,0.5,0.578,36645.2,36645.2,26754.8,2439.56,29274.72,7.394886363636363,296945.2,493.77333333333354,GA,4.0,58000.0,1240.0,112.0,85.0,Mortgage,260300.0,360,5.43,Home Purchase,0.558,Branch,1001,T,742,2,12.9,154.8,63400.0,0.0,2,2,0,0,0.317
100683,583725,20,4,2021,Email,REF0000,Active,10,2,0,0,53,36800.0,5.2,Self-employed,High School,Single,0,3066.67,785.09,546.0,0.434,0.4340510869565218,0.178,0.57,41097.0,41097.0,31003.0,1331.0900000000001,15973.080000000002,0.4945652173913043,59297.0,1735.58,NJ,5.5,82000.0,2110.0,134.0,122.0,Unknown,18200.0,0,18.32,Revolving Credit,0.0,Branch,1010,N,759,6,2.6,31.200000000000003,72100.0,0.0,2,2,0,0,0.239
100684,630262,21,0,2012,Email,REF0000,Active2,7,0,1,1,26,61800.0,4.2,Full-time,Bachelor,Married,0,5150.0,693.61,1191.98,0.366,0.3661339805825243,0.231,0.464,44822.4,44822.4,51777.6,1885.5900000000001,22627.08,2.7184466019417477,212822.4,3264.41,TX,4.2,61000.0,1300.0,95.0,82.0,Mortgage,168000.0,360,7.65,Home Purchase,0.888,Online,1001,F,655,6,8.0,96.0,96600.0,0.0,1,1,0,0,0.326
100685,635159,0,3,2011,Email,REF0000,Active1,10,2,0,0,51,32500.0,7.6,Full-time,High School,Divorced,1,2708.33,864.73,179.53,0.386,0.38557292307692304,0.066,0.601,21455.7,21455.7,14244.3,1044.26,12531.119999999999,0.24923076923076923,29555.7,1664.07,MO,4.0,55000.0,1310.0,98.0,69.0,Personal,8100.0,60,11.84,Debt Consolidation,0.0,Broker,1055,T,725,9,7.1,85.19999999999999,35700.0,1.0,1,1,0,0,0.255
100686,599641,22,1,2018,Email,REF0000,Active3,7,3,1,1,35,27400.0,2.6,Full-time,Bachelor,Married,3,2283.33,474.05,1524.28,0.875,0.8751810218978101,0.668,0.283,20743.9,20743.9,52556.1,1998.33,23979.96,8.138686131386862,243743.9,285.0,GA,4.0,58000.0,1310.0,111.0,86.0,Mortgage,223000.0,360,7.27,Home Purchase,0.79,Online,999,I,671,10,10.8,129.60000000000002,73300.0,0.0,0,0,0,0,0.402
100687,566154,6,1,2012,Email,REF0000,A01,11,4,1,1,31,20000.0,5.8,Part-time,High School,Married,1,1666.67,480.1,1116.87,0.958,0.9581819999999999,0.67,0.285,10716.0,10716.0,26884.0,1596.97,19163.64,10.73,225316.0,69.7,TX,4.8,61000.0,1420.0,106.0,86.0,Mortgage,214600.0,360,4.73,Home Purchase,0.954,Branch,1004,N,699,7,13.0,156.0,37600.0,0.0,2,2,0,0,0.248
